, 0.137215
230, 0.01
240, 0.01
250, 0.01
260, 0.01
270, 0.01
280, 0.01
290, 0.01
300, 0.01
310, 0.01
320, 0.01
330, 0.01
340, 0.01
350, 0.01
360, 0.01
370, 0.01
380, 0.01
390, 0.01
400, 0.01
410, 0.01
420, 0.01
430, 0.01
440, 0.01
450, 0.01
460, 0.01
470, 0.01
480, 0.01
490, 0.01
500, 0.01
510, 0.01
520, 0.01
530, 0.01
540, 0.01
550, 0.01
560, 0.01
570, 0.01
580, 0.01
590, 0.01
600, 0.01
610, 0.01
620, 0.01
630, 0.01
640, 0.01
650, 0.01
660, 0.01
670, 0.01
680, 0.01
690, 0.01
700, 0.01
710, 0.01
720, 0.01
730, 0.01
740, -0.21
750, 0.01
760, 0.01
770, 0.01
780, 0.01
790, 0.01
800, 0.01
810, 0.01
820, 0.01
830, 0.01
840, 0.01
850, 0.01
860, 0.01
870, 0.01
880, 0.01
890, 0.01
900, 0.01
910, 0.01
920, 0.01
930, 0.01
940, 0.01
950, 0.01
960, -0.21
970, 0.01
980, 0.01
990, 0.01
1000, 0.01
1010, 0.01
1020, 0.01
1030, 0.01
1040, 0.01
1050, 0.01
1060, 0.01
1070, 0.01
1080, 0.01
1090, 0.01
1100, 0.01
1110, 0.01
1120, 0.01
1130, 0.01
1140, 0.01
1150, 0.01
1160, 0.01
1170, 0.01
1180, 0.01
1190, 0.01
1200, 0.01
1210, 0.01
1220, -0.21
1230, 0.01
1240, 0.01
1250, 0.01
1260, 0.01
1270, 0.01
1280, 0.01
1290, 0.01
1300, 0.01
1310, 0.01
1320, 0.01
1330, 0.01
1340, 0.01
1350, 0.01
1360, 0.01
1370, 0.01
1380, 0.01
1390, 0.01
1400, 0.01
1410, 0.01
1420, 0.01
1430, 0.01
1440, 0.01
1450, 0.01
1460, 0.01
1470, 0.01
1480, 0.01
1490, 0.01
1500, 0.01
1510, 0.01
1520, 0.01
1530, 0.01
1540, 0.01
1550, 0.01
1560, 0.01
1570, 0.01
1580, 0.01
1590, 0.01
1600, 0.01
1610, 0.01
1620, 0.01
1630, 0.01
1640, 0.01
1650, 0.01
1660, 0.01
1670, 0.01
1680, 0.01
1690, 0.01
1700, 0.01
1710, 0.01
1720, 0.01
1730, 0.01
1740, 0.01
1750, 0.01
1760, 0.01
1770, 0.01
1780, 0.01
1790, 0.01
1800, 0.01
1810, 0.01
1820, 0.01
1830, 0.01
1840, 0.01
1850, 0.01
1860, 0.01
1870, 0.01
1880, 0.01
1890, 0.01
1900, 0.01
1910, 0.01
1920, 0.01
1930, 0.01
1940, 0.01
1950, 0.01
1960, 0.01
1970, 0.01
1980, 0.01
1990, 0.01
2000, 0.01
2010, 0.01
2020, 0.01
2030, 0.01
2040, 0.01
2050, 0.01
2060, 0.01
2070, 0.01
2080, 0.01
2090, 0.01
2100, 0.01
2110, 0.01
2120, 0.01
2130, 0.01
2140, 0.01
2150, 0.01
2160, 0.01
2170, 0.01
2180, 0.01
2190, 0.01
2200, 0.01
2210, 0.01
2220, 0.01
2230, 0.01
2240, 0.01
2250, 0.01
2260, 0.01
2270, 0.01
2280, 0.01
2290, 0.01
2300, 0.01
2310, 0.01
2320, 0.01
2330, 0.01
2340, 0.01
2350, 0.01
2360, 0.01
2370, 0.01
2380, 0.01
2390, 0.01
2400, 0.01
2410, 0.01
2420, 0.01
2430, 0.01
2440, 0.01
2450, 0.01
2460, 0.01
2470, 0.01
2480, 0.01
2490, 0.01
2500, 0.01
2510, 0.01
2520, 0.01
2530, 0.01
2540, 0.01
2550, 0.01
2560, 0.01
2570, 0.01
2580, 0.01
2590, 0.01
2600, 0.01
2610, 0.01
2620, 0.01
2630, 0.01
2640, 0.01
2650, 0.01
2660, 0.01
2670, 0.01
2680, 0.01
2690, 0.01
2700, 0.01
2710, 0.01
2720, 0.01
2730, 0.01
2740, 0.01
2750, 0.01
2760, 0.01
2770, 0.01
2780, 0.01
2790, 0.01
2800, 0.01
2810, 0.01
2820, -0.21
2830, 0.01
2840, 0.01
2850, 0.01
2860, 0.01
2870, 0.01
2880, 0.01
2890, 0.01
2900, 0.01
2910, 0.01
2920, 0.01
2930, 0.01
2940, 0.01
2950, 0.01
2960, 0.01
2970, 0.01
2980, 0.01
2990, 0.01
3000, 0.01
3010, 0.01
3020, 0.01
3030, 0.01
3040, 0.01
3050, 0.01
3060, 0.01
3070, 0.01
3080, 0.01
3090, 0.01
3100, 0.01
3110, 0.01
3120, 0.01
3130, 0.01
3140, 0.01
3150, 0.01
3160, 0.01
3170, 0.01
3180, 0.01
3190, 0.01
3200, 0.01
3210, 0.01
3220, 0.01
3230, 0.01
3240, 0.01
3250, 0.01
3260, 0.01
3270, 0.01
3280, 0.01
3290, 0.01
3300, 0.01
3310, 0.01
3320, 0.01
3330, 0.01
3340, 0.01
3350, 0.01
3360, 0.01
3370, 0.01
3380, 0.01
3390, 0.01
3400, 0.01
3410, 0.01
3420, 0.01
3430, 0.01
3440, 0.01
3450, 0.01
3460, 0.01
3470, 0.01
3480, 0.01
3490, 0.01
3500, 0.01
3510, 0.01
3520, 0.01
3530, 0.01
3540, 0.01
3550, 0.01
3560, 0.01
3570, 0.01
3580, 0.01
3590, 0.01
3600, 0.01
3610, 0.01
3620, 0.01
3630, 0.01
3640, 0.01
3650, 0.01
3660, 0.01
3670, 0.01
3680, 0.01
3690, 0.01
3700, 0.01
3710, 0.01
3720, 0.01
3730, 0.01
3740, 0.01
3750, 0.01
3760, 0.01
3770, 0.01
3780, 0.01
3790, 0.01
3800, 0.01
3810, 0.01
3820, 0.01
3830, 0.01
3840, 0.01
3850, 0.01
3860, 0.01
3870, 0.01
3880, 0.01
3890, 0.01
3900, 0.01
3910, 0.01
3920, 0.01
3930, 0.01
3940, 0.01
3950, 0.01
3960, 0.01
3970, 0.01
3980, 0.01
3990, 0.01
4000, 0.01
4010, 0.01
4020, 0.01
4030, 0.01
4040, 0.01
4050, 0.01
4060, 0.01
4070, 0.01
4080, 0.01
4090, 0.01
4100, 0.01
4110, 0.01
4120, 0.01
4130, 0.01
4140, 0.01
4150, 0.01
4160, 0.01
4170, 0.01
4180, 0.01
4190, 0.01
4200, 0.01
4210, 0.01
4220, 0.01
4230, 0.01
4240, 0.01
4250, 0.01
4260, 0.01
4270, 0.01
4280, 0.01
4290, 0.01
4300, 0.01
4310, 0.01
4320, 0.01
4330, 0.01
4340, 0.01
4350, 0.01
4360, 0.01
4370, 0.01
4380, 0.01
4390, 0.01
4400, 0.01
4410, 0.01
4420, 0.01
4430, 0.01
4440, 0.01
4450, 0.01
4460, 0.01
4470, 0.01
4480, 0.01
4490, 0.01
4500, 0.01
4510, 0.01
4520, 0.01
4530, 0.01
4540, 0.01
4550, 0.01
4560, 0.01
4570, 0.01
4580, 0.01
4590, 0.01
4600, 0.01
4610, 0.01
4620, 0.01
4630, 0.01
4640, 0.01
4650, 0.01
4660, 0.01
4670, 0.01
4680, 0.01
4690, 0.01
4700, 0.01
4710, 0.01
4720, 0.01
4730, 0.01
4740, 0.01
4750, 0.01
4760, 0.01
4770, 0.01
4780, 0.01
4790, 0.01
4800, 0.01
4810, 0.01
4820, 0.01
4830, 0.01
4840, 0.01
4850, 0.01
4860, 0.01
4870, 0.01
4880, 0.01
4890, 0.01
4900, 0.01
4910, 0.01
4920, 0.01
4930, 0.01
4940, 0.01
4950, 0.01
4960, 0.01
4970, 0.01
4980, 0.01
4990, 0.01
5000, 0.01
5010, 0.01
5020, 0.01
5030, 0.01
5040, 0.01
5050, 0.01
5060, 0.01
5070, 0.01
5080, 0.01
5090, 0.01
5100, 0.01
5110, 0.01
5120, 0.01
5130, 0.01
5140, 0.01
5150, 0.01
5160, 0.01
5170, 0.01
5180, 0.01
5190, 0.01
5200, 0.01
5210, 0.01
5220, 0.01
5230, 0.01
5240, 0.01
5250, 0.01
5260, 0.01
5270, 0.01
5280, 0.01
5290, 0.01
5300, 0.01
5310, 0.01
5320, 0.01
5330, 0.01
5340, 0.01
5350, 0.01
5360, 0.01
5370, 0.01
5380, 0.01
5390, 0.01
5400, 0.01
5410, 0.01
5420, 0.01
5430, 0.01
5440, 0.01
5450, 0.01
5460, 0.01
5470, 0.01
5480, 0.01
5490, 0.01
5500, 0.01
5510, 0.01
5520, 0.01
5530, 0.01
5540, 0.01
5550, 0.01
5560, 0.01
5570, 0.01
5580, 0.01
5590, 0.01
5600, 0.01
5610, 0.01
5620, 0.01
5630, 0.01
5640, 0.01
5650, 0.01
5660, 0.01
5670, 0.01
5680, 0.01
5690, 0.01
5700, 0.01
5710, 0.01
5720, 0.01
5730, 0.01
5740, 0.01
5750, 0.01
5760, 0.01
5770, 0.01
5780, 0.01
5790, 0.01
5800, 0.01
5810, 0.01
5820, 0.01
5830, 0.01
5840, 0.01
5850, 0.01
5860, 0.01
5870, 0.01
5880, 0.01
5890, 0.01
5900, 0.01
5910, 0.01
5920, 0.01
5930, 0.01
5940, 0.01
5950, 0.01
5960, 0.01
5970, 0.01
5980, 0.01
5990, 0.01
6000, 0.01
6010, 0.01
6020, 0.01
6030, 0.01
6040, 0.01
6050, 0.01
6060, 0.01
6070, 0.01
6080, 0.01
6090, 0.01
6100, 0.01
6110, 0.01
6120, 0.01
6130, 0.01
6140, 0.01
6150, 0.01
6160, 0.01
6170, 0.01
6180, 0.01
6190, 0.01
6200, 0.01
6210, 0.01
6220, 0.01
6230, 0.01
6240, 0.01
6250, -0.21
6260, 0.01
6270, -0.21
6280, -0.21
6290, 0.01
6300, -0.21
6310, -0.21
6320, -0.21
6330, -0.21
6340, -0.21
6350, -0.21
6360, -0.21
6370, -0.21
6380, -0.21
6390, -0.21
6400, -0.21
6410, -0.21
6420, -0.21
6430, -0.21
6440, -0.21
6450, -0.21
6460, -0.21
6470, -0.21
6480, -0.21
6490, -0.21
6500, 0.01
6510, -0.21
6520, 0.01
6530, 0.01
6540, 0.01
6550, 0.01
6560, 0.01
6570, 0.01
6580, 0.01
6590, 0.01
6600, 0.01
6610, 0.01
6620, 0.01
6630, 0.01
6640, -0.21
6650, -0.21
6660, -0.21
6670, -0.21
6680, -0.21
6690, -0.21
6700, -0.21
6710, -0.21
6720, -0.21
6730, -0.21
6740, -0.21
6750, -0.21
6760, -0.21
6770, -0.21
6780, -0.21
6790, -0.2
6800, -0.2
6810, -0.2
6820, -0.2
6830, -0.2
6840, -0.2
6850, -0.2
6860, -0.2
6870, -0.2
6880, -0.2
6890, -0.41
6900, -0.41
6910, -0.41
6920, -0.19
6930, -0.19
6940, -0.19
6950, -0.19
6960, -0.41
6970, -0.41
6980, -0.41
6990, -0.41
7000, -0.41
7010, -0.41
7020, -0.41
7030, -0.41
7040, -0.41
7050, -0.41
7060, -0.63
7070, -0.63
7080, -0.4
7090, -0.4
7100, -0.62
7110, -0.62
7120, -0.62
7130, -0.61
7140, -0.61
7150, -0.61
7160, -0.83
7170, -0.83
7180, -0.61
7190, -0.83
7200, -0.83
7210, -0.6
7220, -0.82
7230, -0.82
7240, -0.82
7250, -0.82
7260, -1.03
7270, -0.8
7280, -1.02
7290, -1.02
7300, -1.02
7310, -1.24
7320, -1.02
7330, -1.24
7340, -1.45
7350, -1.22
7360, -1.44
7370, -1.44
7380, -1.44
7390, -1.66
7400, -1.43
7410, -1.64
7420, -1.23
7430, -1.22
7440, -1.44
7450, -1.44
7460, -1.43
7470, -1.42
7480, -1.86
7490, -1.86
7500, -1.85
7510, -1.84
7520, -2.06
7530, -2.05
7540, -2.26
7550, -2.26
7560, -2.06
7570, -2.06
7580, -2.27
7590, -2.26
7600, -2.46
7610, -2.68
7620, -2.66
7630, -2.88
7640, -3.1
7650, -2.67
7660, -2.66
7670, -3.31
7680, -3.9
7690, -3.7
7700, -4.14
7710, -4.12
7720, -3.92
7730, -3.9
7740, -5.15
7750, -5.14
7760, -5.56
7770, -5.58
7780, -5.98
7790, -6.18
7800, -6.38
7810, -6.58
7820, -5.56
7830, -6.4
7840, -6.6
7850, -6.8
7860, -6.78
7870, -6.98
7880, -8.03
7890, -7.2
7900, -7.84
7910, -8.24
7920, -8.23
7930, -9.05
7940, -9.46
7950, -9.88
7960, -9.48
7970, -9.67
7980, -10.93
7990, -11.12
8000, -11.31
8010, -11.12
8020, -12.16
8030, -12.34
8040, -12.75
8050, -13.57
8060, -13.37
8070, -13.77
8080, -14.8
8090, -15.6
8100, -16.22
8110, -17.04
8120, -17.3
8130, -17.92
8140, -18.92
8150, -19.54
8160, -20.2
8170, -20.58
8180, -20.98
8190, -20.14
8200, -21.38
8210, -22
8220, -23.46
8230, -22.42
8240, -24.3
8250, -24.7
8260, -23.74
8270, -27.18
8280, -27.58
8290, -27.18
8300, -28.82
8310, -28.72
8320, -30.02
8330, -30.8
8340, -30.8
8350, -32.48
8360, -33.28
8370, -34.48
8380, -36.16
8390, -34.88
8400, -37.4
8410, -37.76
8420, -39
8430, -38.56
8440, -39.8
8450, -41.4
8460, -43.6
8470, -42.68
8480, -44.4
8490, -45.2
8500, -48.6
8510, -47.64
8520, -48.36
8530, -50
8540, -53.4
8550, -54.12
8560, -55.72
8570, -56.52
8580, -56.6
8590, -58.24
8600, -61.6
8610, -60.56
8620, -60.72
8630, -62.32
8640, -64.72
8650, -65.6
8660, -66.24
8670, -67.84
8680, -68.72
8690, -71.2
8700, -72
8710, -72.72
8720, -76
8730, -77.68
8740, -76.88
8750, -80
8760, -82.48
8770, -84.16
8780, -83.92
8790, -84.96
8800, -85.6
8810, -91.2
8820, -89.68
8830, -91.2
8840, -93.52
8850, -96.16
8860, -97.76
8870, -97.68
8880, -100.16
8890, -100.8
8900, -101.76
8910, -106
8920, -105.6
8930, -108.16
8940, -110.72
8950, -112.48
8960, -116.48
8970, -118.88
8980, -120.32
8990, -121.12
9000, -125.28
9010, -127.68
9020, -130.24
9030, -130.24
9040, -135.2
9050, -136
9060, -137.28
9070, -139.84
9080, -140.64
9090, -143.2
9100, -145.6
9110, -148.16
9120, -150.4
9130, -151.2
9140, -155.2
9150, -156.8
9160, -158.88
9170, -161.44
9180, -164
9190, -167.36
9200, -168.96
9210, -170.24
9220, -172.64
9230, -173.28
9240, -178.4
9250, -181.92
9260, -182.24
9270, -187.68
9280, -187.68
9290, -190.88
9300, -195.04
9310, -196.64
9320, -200.8
9330, -200.48
9340, -205.6
9350, -207.04
9360, -209.28
9370, -212.16
9380, -213.76
9390, -219.52
9400, -221.44
9410, -223.36
9420, -226.88
9430, -231.68
9440, -233.28
9450, -235.52
9460, -238.72
9470, -241.6
9480, -243.2
9490, -246.4
9500, -252.16
9510, -254.72
9520, -257.92
9530, -261.76
9540, -264.32
9550, -267.84
9560, -269.44
9570, -273.6
9580, -274.88
9590, -279.36
9600, -281.6
9610, -284.16
9620, -287.04
9630, -287.04
9640, -291.52
9650, -294.08
9660, -297.92
9670, -298.56
9680, -301.76
9690, -303.36
9700, -307.52
9710, -310.4
9720, -315.52
9730, -319.36
9740, -321.28
9750, -322.56
9760, -324.16
9770, -326.08
9780, -331.2
9790, -332.8
9800, -337.6
9810, -341.76
9820, -344.96
9830, -347.52
9840, -350.4
9850, -352.96
9860, -360.64
9870, -386.24
9880, -414.72
9890, -460.16
9900, -527.04
9910, -621.44
9920, -720
9930, -829.44
9940, -966.08
9950, -1076.16
9960, -1216.64
9970, -1382.08
9980, -1515.2
9990, -1650.88
10000, -1810.24
10010, -1927.68
10020, -2019.84
10030, -2117.76
10040, -2185.6
10050, -2210.56
10060, -2261.12
10070, -2280.96
10080, -2305.28
10090, -2315.52
10100, -2323.84
10110, -2271.36
10120, -2350.72
10130, -2375.68
10140, -2382.72
10150, -2393.6
10160, -2423.68
10170, -2428.16
10180, -2440.96
10190, -2459.52
10200, -2480.64
10210, -2486.4
10220, -2503.68
10230, -2520.32
10240, -2535.04
10250, -2554.88
10260, -2561.92
10270, -2583.68
10280, -2594.56
10290, -2609.28
10300, -2622.08
10310, -2637.44
10320, -2645.12
10330, -2664.32
10340, -2684.8
10350, -2698.24
10360, -2725.76
10370, -2737.92
10380, -2757.76
10390, -2780.8
10400, -2797.44
10410, -2812.8
10420, -2840.32
10430, -2872.32
10440, -2898.56
10450, -2933.76
10460, -2947.84
10470, -2983.04
10480, -2999.68
10490, -3032.32
10500, -3058.56
10510, -3090.56
10520, -3116.8
10530, -3144.32
10540, -3173.12
10550, -3211.52
10560, -3223.68
10570, -3261.44
10580, -3292.8
10590, -3319.04
10600, -3345.92
10610, -3372.8
10620, -3402.88
10630, -3447.04
10640, -3470.72
10650, -3484.8
10660, -3521.28
10670, -3557.12
10680, -3590.4
10690, -3613.44
10700, -3644.16
10710, -3677.44
10720, -3710.72
10730, -3744
10740, -3769.6
10750, -3813.12
10760, -3822.72
10770, -3866.88
10780, -3896.96
10790, -3928.96
10800, -3941.76
10810, -3987.84
10820, -4002.56
10830, -4059.52
10840, -4087.04
10850, -4117.12
10860, -4144.64
10870, -4170.88
10880, -4199.68
10890, -4236.8
10900, -4254.72
10910, -4275.84
10920, -4323.2
10930, -4331.52
10940, -4363.52
10950, -4382.72
10960, -4416.64
10970, -4444.16
10980, -4463.36
10990, -4478.08
11000, -4501.12
11010, -4515.2
11020, -4538.88
11030, -4549.76
11040, -4590.72
11050, -4605.44
11060, -4632.96
11070, -4663.04
11080, -4696.96
11090, -4745.6
11100, -4770.56
11110, -4808.32
11120, -4830.72
11130, -4839.04
11140, -4835.2
11150, -4858.88
11160, -4880.64
11170, -4872.96
11180, -4872.96
11190, -4890.88
11200, -4912.64
11210, -4939.52
11220, -4945.92
11230, -4962.56
11240, -5022.72
11250, -5057.28
11260, -5102.08
11270, -5152
11280, -5210.88
11290, -5248
11300, -5292.8
11310, -5332.48
11320, -5410.56
11330, -5450.24
11340, -5501.44
11350, -5583.36
11360, -5661.44
11370, -5726.72
11380, -5797.12
11390, -5863.68
11400, -5917.44
11410, -5969.92
11420, -6017.28
11430, -6049.28
11440, -6103.04
11450, -6142.72
11460, -6177.28
11470, -6225.92
11480, -6272
11490, -6309.12
11500, -6362.88
11510, -6388.48
11520, -6426.88
11530, -6488.32
11540, -6529.28
11550, -6590.72
11560, -6636.8
11570, -6680.32
11580, -6728.96
11590, -6786.56
11600, -6836.48
11610, -6877.44
11620, -6909.44
11630, -6923.52
11640, -6932.48
11650, -6927.36
11660, -6906.92
11670, -6892.8
11680, -6877.42
11690, -6841.56
11700, -6819.86
11710, -6780.14
11720, -6766.1
11730, -6807.04
11740, -6878.72
11750, -6937.62
11760, -7004.14
11770, -7064.32
11780, -7155.22
11790, -7191.04
11800, -7248.68
11810, -7304.94
11820, -7339.56
11830, -7392
11840, -7429.08
11850, -7450.9
11860, -7458.58
11870, -7509.8
11880, -7499.52
11890, -7467.48
11900, -7459.88
11910, -7479.04
11920, -7535.34
11930, -7603.2
11940, -7660.78
11950, -7711.98
11960, -7837.4
11970, -7944.94
11980, -8051.16
11990, -8175.36
12000, -8256
12010, -8400.64
12020, -8529.9
12030, -8610.54
12040, -8728.32
12050, -8789.78
12060, -8847.4
12070, -8975.38
12080, -9025.26
12090, -9103.38
12100, -9196.78
12110, -9288.94
12120, -9338.92
12130, -9404.12
12140, -9396.5
12150, -9455.4
12160, -9454.1
12170, -9484.82
12180, -9527
12190, -9518.08
12200, -9570.6
12210, -9527.04
12220, -9560.3
12230, -9579.5
12240, -9651.24
12250, -9753.64
12260, -9830.44
12270, -9955.84
12280, -10009.6
12290, -10042.9
12300, -10069.7
12310, -10104.3
12320, -10147.9
12330, -10183.7
12340, -10142.7
12350, -10187.5
12360, -10211.8
12370, -10260.5
12380, -10284.8
12390, -10356.5
12400, -10421.8
12410, -10521.6
12420, -10615.1
12430, -10740.5
12440, -10837.8
12450, -10887.7
12460, -10991.3
12470, -10990
12480, -11070.7
12490, -11143.7
12500, -11210.2
12510, -11308.8
12520, -11408.7
12530, -11430.4
12540, -11499.5
12550, -11559.7
12560, -11600.6
12570, -11667.2
12580, -11699.2
12590, -11735.1
12600, -11760.6
12610, -11747.8
12620, -11664.7
12630, -11621.1
12640, -11630.1
12650, -11538
12660, -11440.6
12670, -11427.8
12680, -11484.2
12690, -11545.6
12700, -11619.8
12710, -11673.6
12720, -11811.9
12730, -11834.9
12740, -11932.2
12750, -12083.2
12760, -12144.6
12770, -12231.7
12780, -12249.6
12790, -12247.1
12800, -12293.1
12810, -12354.6
12820, -12451.9
12830, -12538.8
12840, -12677.2
12850, -12838.4
12860, -12992
12870, -13107.2
12880, -13209.6
12890, -13268.5
12900, -13299.2
12910, -13386.2
12920, -13358.1
12930, -13345.3
12940, -13327.3
12950, -13447.7
12960, -13350.4
12970, -13378.6
12980, -13445.1
12990, -13470.7
13000, -13603.9
13010, -13665.3
13020, -13765.2
13030, -13911
13040, -14028.8
13050, -14123.5
13060, -14241.3
13070, -14300.2
13080, -14448.6
13090, -14563.8
13100, -14691.9
13110, -14720
13120, -14761
13130, -14837.7
13140, -14909.5
13150, -15022.1
13160, -15173.1
13170, -15150.1
13180, -15098.8
13190, -15137.3
13200, -15078.4
13210, -14981.2
13220, -14968.3
13230, -15032.3
13240, -14924.8
13250, -15019.5
13260, -15162.9
13270, -15145
13280, -15055.4
13290, -15132.2
13300, -15101.4
13310, -15134.7
13320, -15298.6
13330, -15329.3
13340, -15413.8
13350, -15493.2
13360, -15564.8
13370, -15672.3
13380, -15749.2
13390, -15956.5
13400, -16048.6
13410, -16079.4
13420, -16099.9
13430, -16158.7
13440, -16076.8
13450, -16143.4
13460, -16266.2
13470, -16501.7
13480, -16509.4
13490, -16839.6
13500, -16970.3
13510, -17057.3
13520, -17159.7
13530, -17397.7
13540, -17482.2
13550, -17556.5
13560, -17630.7
13570, -17712.7
13580, -17699.8
13590, -17689.6
13600, -17728
13610, -17751
13620, -17922.6
13630, -17961
13640, -18160.6
13650, -18393.6
13660, -18534.4
13670, -18841.6
13680, -18996.5
13690, -19220.4
13700, -19310.1
13710, -19523.8
13720, -19750.4
13730, -19923.2
13740, -20073
13750, -20213.7
13760, -20290.6
13770, -20354.6
13780, -20367.4
13790, -20441.6
13800, -20410.9
13810, -20380.2
13820, -20419.8
13830, -20430.1
13840, -20335.4
13850, -20312.3
13860, -20311
13870, -20349.5
13880, -20308.5
13890, -20188.2
13900, -20341.8
13910, -20349.4
13920, -20329
13930, -20377.6
13940, -20528.6
13950, -20569.6
13960, -20810.3
13970, -20794.9
13980, -20759
13990, -20702.7
14000, -20766.7
14010, -20851.2
14020, -20828.1
14030, -20725.8
14040, -20692.5
14050, -20561.9
14060, -20469.8
14070, -20587.5
14080, -20656.6
14090, -20738.6
14100, -20812.8
14110, -20999.7
14120, -21163.5
14130, -21219.9
14140, -21378.5
14150, -21537.2
14160, -21795.9
14170, -21969.9
14180, -22041.6
14190, -22010.9
14200, -22021.1
14210, -21980.1
14220, -22051.9
14230, -22069.8
14240, -21949.5
14250, -22000.6
14260, -22018.6
14270, -22049.3
14280, -21987.9
14290, -21893.1
14300, -21870.1
14310, -21985.3
14320, -21969.9
14330, -22090.2
14340, -22243.8
14350, -22182.4
14360, -22200.4
14370, -22105.6
14380, -22274.5
14390, -22300.2
14400, -22428.1
14410, -22469.1
14420, -22671.4
14430, -22676.5
14440, -22853.2
14450, -22684.2
14460, -22873.6
14470, -23293.4
14480, -23316.5
14490, -23329.3
14500, -23475.2
14510, -23447
14520, -23554.5
14530, -23516.2
14540, -23703
14550, -23552
14560, -23413.8
14570, -23383
14580, -23329.3
14590, -23296
14600, -23252.5
14610, -22919.7
14620, -22958.1
14630, -22927.3
14640, -22673.9
14650, -22443.5
14660, -22218.2
14670, -22174.7
14680, -22277.2
14690, -22174.7
14700, -22185
14710, -22210.5
14720, -22256.7
14730, -22440.9
14740, -22822.4
14750, -23250
14760, -23695.3
14770, -24148.5
14780, -24826.9
14790, -25505.2
14800, -26060.8
14810, -26480.6
14820, -26703.3
14830, -26780.1
14840, -26759.7
14850, -26729
14860, -26790.4
14870, -26810.9
14880, -26764.8
14890, -26631.7
14900, -26483.2
14910, -26150.4
14920, -25912.4
14930, -25569.3
14940, -25635.8
14950, -25466.9
14960, -25315.9
14970, -25159.7
14980, -24591.4
14990, -24335.4
15000, -24074.2
15010, -24151.1
15020, -24130.5
15030, -24361
15040, -24437.8
15050, -24437.7
15060, -24550.4
15070, -24616.9
15080, -24842.2
15090, -25241.6
15100, -25518.1
15110, -26076.2
15120, -27005.4
15130, -27717.1
15140, -28303.3
15150, -28963.8
15160, -29550.1
15170, -30190
15180, -30824.9
15190, -31352.3
15200, -31782.4
15210, -32071.7
15220, -32465.9
15230, -32634.9
15240, -32896
15250, -33007.4
15260, -33227.5
15270, -33290.3
15280, -33370.9
15290, -33546.3
15300, -33620.4
15310, -33714
15320, -33781.7
15330, -33866.2
15340, -33941.7
15350, -33960.9
15360, -34080
15370, -34145.3
15380, -34142.7
15390, -34127.3
15400, -34007
15410, -33973.8
15420, -33835.5
15430, -33536
15440, -33633.3
15450, -33656.4
15460, -33589.8
15470, -33472
15480, -33182.7
15490, -33031.7
15500, -32908.8
15510, -32465.9
15520, -32481.3
15530, -32529.9
15540, -32394.3
15550, -31879.7
15560, -31805.5
15570, -31651.9
15580, -31536.6
15590, -31508.5
15600, -31792.7
15610, -32128
15620, -32668.1
15630, -32988.2
15640, -33277.4
15650, -33763.9
15660, -34268.1
15670, -34657.2
15680, -34880
15690, -35002.9
15700, -35397.1
15710, -35752.9
15720, -35837.5
15730, -35975.7
15740, -36093.4
15750, -36234.3
15760, -36198.4
15770, -36326.4
15780, -36354.5
15790, -36426.3
15800, -36585
15810, -36874.3
15820, -37063.7
15830, -37286.4
15840, -37544.9
15850, -37772.8
15860, -37916.1
15870, -37875.2
15880, -38069.7
15890, -38181.1
15900, -38321.9
15910, -38336
15920, -38461.5
15930, -38305.2
15940, -38512.6
15950, -38545.9
15960, -38313
15970, -37798.4
15980, -37416.9
15990, -37048.3
16000, -36364.8
16010, -35712
16020, -34741.8
16030, -34027.5
16040, -33408
16050, -32716.8
16060, -31959
16070, -31339.5
16080, -31006.7
16090, -30771.2
